player_name,position,team_title,event,opponent_team_title,finished,value,chance_of_playing_next_round,home_flag,goalkeeper_flag,defender_flag,midfielder_flag,forward_flag,goals_WMA,shots_WMA,xG_WMA,time_WMA,xA_WMA,assists_WMA,key_passes_WMA,npg_WMA,npxG_WMA,xGChain_WMA,xGBuildup_WMA,team_xG_WMA,team_goals_WMA,team_xGA_WMA,team_goals_against_WMA,opponent_xG_WMA,opponent_goals_WMA,opponent_xGA_WMA,opponent_goals_against_WMA,goals_pgw,shots_pgw,xG_pgw,time_pgw,xA_pgw,assists_pgw,key_passes_pgw,npg_pgw,npxG_pgw,xGChain_pgw,xGBuildup_pgw,team_xG_pgw,team_goals_pgw,team_xGA_pgw,team_goals_against_pgw,opponent_xG_pgw,opponent_goals_pgw,opponent_xGA_pgw,opponent_goals_against_pgw,total_points
Charlie Taylor,defender,Burnley,8,Manchester City,False,,100.0,0,0,1,0,0,0.0,0.0,0.0,90.0,0.03417561948299408,0.0,1.5,0.0,0.0,0.16647133231163028,0.13229571282863614,1.5957223333333337,0.8333333333333334,1.8487650000000002,2.1666666666666665,3.2727466666666665,3.0,0.4431531333333333,0.0,0.0,0.0,0.0,51.42857142857143,0.010958437408719744,0.0,0.5714285714285714,0.0,0.0,0.09064282370465145,0.08087836099522454,0.8596534285714286,0.42857142857142855,1.09277,1.1428571428571428,1.6812057142857142,1.5714285714285714,0.28600768571428575,0.14285714285714285,
Charlie Taylor,defender,Burnley,9,Southampton,False,,100.0,0,0,1,0,0,0.0,0.0,0.0,90.0,0.0455674926439921,0.0,2.0,0.0,0.0,0.1359715263048808,0.09040403366088867,1.7840799999999999,1.0,1.7095,2.333333333333333,1.6148766666666663,0.6666666666666666,0.8805280000000001,0.6666666666666666,0.0,0.0,0.0,45.0,0.009588632732629776,0.0,0.5,0.0,0.0,0.07931247074157001,0.07076856587082148,0.75219675,0.375,0.9561737499999999,1.0,0.66507775,0.5,0.8208171249999998,0.75,
Will Norris,goalkeeper,Burnley,2,Liverpool,True,45.0,100.0,0,1,0,0,0,,,,,,,,,,,,1.79548,1.0,1.6853,2.0,1.78728,3.0,1.3333,0.0,,,,,,,,,,,,1.79548,1.0,1.6853,2.0,1.78728,3.0,1.3333,0.0,0.0
Will Norris,goalkeeper,Burnley,3,Leeds,True,45.0,100.0,1,1,0,0,0,,,,,,,,,,,,1.0588026666666668,0.3333333333333333,2.3214,2.0,0.8335093333333333,1.6666666666666667,1.7855800000000002,3.0,,,,,,,,,,,,1.242972,0.5,2.162375,2.0,0.7672175,1.5,1.749805,3.5,0.0
Will Norris,goalkeeper,Burnley,4,Everton,True,45.0,100.0,0,1,0,0,0,,,,,,,,,,,,1.3849113333333334,0.6666666666666666,1.92109,1.5,1.7914883333333331,2.1666666666666665,0.7696088333333334,0.8333333333333334,,,,,,,,,,,,1.3989880000000001,0.6666666666666666,1.94851,1.6666666666666667,1.9314799999999999,2.3333333333333335,0.7494386666666667,1.0,0.0
Will Norris,goalkeeper,Burnley,5,Arsenal,False,,100.0,1,1,0,0,0,,,,,,,,,,,,1.5591908,0.8,1.874198,2.1,1.3375063,0.4,2.4898178,2.1,,,,,,,,,,,,1.5043935,0.75,1.9123474999999999,2.0,1.113976,0.25,2.6448805,2.25,
Will Norris,goalkeeper,Burnley,6,Leicester,False,,100.0,0,1,0,0,0,,,,,,,,,,,,1.5591908,0.8,1.874198,2.1,0.8943131999999999,0.9,2.122424,1.5,,,,,,,,,,,,1.2035148,0.6,1.5298779999999998,1.6,0.6737304000000001,0.8,1.5609379999999997,1.2,
Will Norris,goalkeeper,Burnley,7,Norwich,False,,100.0,1,1,0,0,0,,,,,,,,,,,,1.5591908,0.8,1.874198,2.1,0.80150056,0.3,2.122757,2.3,,,,,,,,,,,,1.002929,0.5,1.2748983333333332,1.3333333333333333,0.5627401333333334,0.16666666666666666,1.3642366666666668,1.8333333333333333,
Will Norris,goalkeeper,Burnley,8,Manchester City,False,,100.0,0,1,0,0,0,,,,,,,,,,,,1.5957223333333337,0.8333333333333334,1.8487650000000002,2.1666666666666665,3.2727466666666665,3.0,0.4431531333333333,0.0,,,,,,,,,,,,0.8596534285714286,0.42857142857142855,1.09277,1.1428571428571428,1.6812057142857142,1.5714285714285714,0.28600768571428575,0.14285714285714285,
Will Norris,goalkeeper,Burnley,9,Southampton,False,,100.0,0,1,0,0,0,,,,,,,,,,,,1.7840799999999999,1.0,1.7095,2.333333333333333,1.6148766666666663,0.6666666666666666,0.8805280000000001,0.6666666666666666,,,,,,,,,,,,0.75219675,0.375,0.9561737499999999,1.0,0.66507775,0.5,0.8208171249999998,0.75,
Josh Brownhill,midfielder,Burnley,2,Liverpool,True,45.0,100.0,0,0,0,1,0,0.0,0.0,0.0,8.0,0.020670229569077492,0.0,1.0,0.0,0.0,0.020670229569077492,0.020670229569077492,1.79548,1.0,1.6853,2.0,1.78728,3.0,1.3333,0.0,0.0,0.0,0.0,8.0,0.020670229569077492,0.0,1.0,0.0,0.0,0.020670229569077492,0.020670229569077492,1.79548,1.0,1.6853,2.0,1.78728,3.0,1.3333,0.0,2.0
Josh Brownhill,midfielder,Burnley,3,Leeds,True,45.0,100.0,1,0,0,1,0,0.0,0.0,0.0,62.66666666666666,0.05593313090503217,0.0,1.0,0.0,0.0,0.06892870677014191,0.06892870677014191,1.0588026666666668,0.3333333333333333,2.3214,2.0,0.8335093333333333,1.6666666666666667,1.7855800000000002,3.0,0.0,0.0,0.0,49.0,0.047117405571043484,0.0,1.0,0.0,0.0,0.0568640874698758,0.0568640874698758,1.242972,0.5,2.162375,2.0,0.7672175,1.5,1.749805,3.5,1.0
Josh Brownhill,midfielder,Burnley,4,Everton,True,45.0,100.0,0,0,0,1,0,0.0,1.0,0.032924283295869834,76.33333333333333,0.027966565452516082,0.0,0.5,0.0,0.032924283295869834,0.06621676093588273,0.0595377196247379,1.3849113333333334,0.6666666666666666,1.92109,1.5,1.7914883333333331,2.1666666666666665,0.7696088333333334,0.8333333333333334,0.0,0.6666666666666666,0.02194952219724655,62.666666666666664,0.03141160371402899,0.0,0.6666666666666666,0.0,0.02194952219724655,0.05907766334712505,0.05462496913969517,1.3989880000000001,0.6666666666666666,1.94851,1.6666666666666667,1.9314799999999999,2.3333333333333335,0.7494386666666667,1.0,1.0
Josh Brownhill,midfielder,Burnley,5,Arsenal,False,,100.0,1,0,0,1,0,0.0,1.0,0.05384877547621727,81.8,0.01677993927150965,0.0,0.3,0.0,0.05384877547621727,0.2875183427706361,0.2494167035445571,1.5591908,0.8,1.874198,2.1,1.3375063,0.4,2.4898178,2.1,0.0,0.75,0.03777102008461952,69.5,0.023558702785521742,0.0,0.5,0.0,0.03777102008461952,0.19917592639103532,0.17452752171084285,1.5043935,0.75,1.9123474999999999,2.0,1.113976,0.25,2.6448805,2.25,
Josh Brownhill,midfielder,Burnley,6,Leicester,False,,100.0,0,0,0,1,0,0.0,1.0,0.05384877547621727,81.8,0.01677993927150965,0.0,0.3,0.0,0.05384877547621727,0.2875183427706361,0.2494167035445571,1.5591908,0.8,1.874198,2.1,0.8943131999999999,0.9,2.122424,1.5,0.0,0.6,0.030216816067695617,55.6,0.018846962228417394,0.0,0.4,0.0,0.030216816067695617,0.15934074111282825,0.13962201736867427,1.2035148,0.6,1.5298779999999998,1.6,0.6737304000000001,0.8,1.5609379999999997,1.2,
Josh Brownhill,midfielder,Burnley,7,Norwich,False,,100.0,1,0,0,1,0,0.0,1.0,0.05384877547621727,81.8,0.01677993927150965,0.0,0.3,0.0,0.05384877547621727,0.2875183427706361,0.2494167035445571,1.5591908,0.8,1.874198,2.1,0.80150056,0.3,2.122757,2.3,0.0,0.5,0.025180680056413014,46.333333333333336,0.015705801857014496,0.0,0.3333333333333333,0.0,0.025180680056413014,0.13278395092735687,0.1163516811405619,1.002929,0.5,1.2748983333333332,1.3333333333333333,0.5627401333333334,0.16666666666666666,1.3642366666666668,1.8333333333333333,
Josh Brownhill,midfielder,Burnley,8,Manchester City,False,,100.0,0,0,0,1,0,0.0,1.1666666666666667,0.06456727907061575,90.0,0.01226076359550158,0.0,0.16666666666666666,0.0,0.06456727907061575,0.3464132870237033,0.2993428247670333,1.5957223333333337,0.8333333333333334,1.8487650000000002,2.1666666666666665,3.2727466666666665,3.0,0.4431531333333333,0.0,0.0,0.42857142857142855,0.021583440048354014,39.714285714285715,0.013462115877440995,0.0,0.2857142857142857,0.0,0.021583440048354014,0.11381481508059162,0.09973001240619592,0.8596534285714286,0.42857142857142855,1.09277,1.1428571428571428,1.6812057142857142,1.5714285714285714,0.28600768571428575,0.14285714285714285,
