Dataset,Gameweek,Position,LASSO Regression MAE,Linear Regression MAE,Random Forest MAE,Ridge Regression MAE,XGBoost MAE,XGBoost V2 MAE
test,20,forward,1.80846269,1.765489909,1.750385331,1.808802672,1.7031542,1.6945351
test,20,goalkeeper,1.964054711,1.984733449,1.943577298,1.917842413,1.9740307,1.9941003
test,20,midfielder,1.613618903,1.601084481,1.624426502,1.620181224,1.6068457,1.6054045
test,21,defender,1.964084624,2.007411047,1.938289285,1.967836142,1.9340839,1.826866
test,21,forward,1.775060935,1.740904386,1.712955266,1.772615421,1.6712615,1.566811
test,21,goalkeeper,1.858417546,1.95948361,1.959966595,1.928272601,1.9840941,1.9068614
test,21,midfielder,1.588587583,1.58025201,1.60413021,1.603520673,1.5838099,1.5198725
test,22,defender,2.015670161,2.062924079,1.998548043,2.011522172,1.995963,1.8937389
test,22,forward,1.682456417,1.653040695,1.604696737,1.670404278,1.5621315,1.4817913
test,22,goalkeeper,2.037112677,2.054280434,2.011404755,2.040192121,2.0554953,1.9881011
test,22,midfielder,1.596146768,1.586204835,1.595452102,1.606136141,1.5863589,1.5033345
test,23,defender,2.066525375,2.126589119,2.053049656,2.067925127,2.0431545,1.949789
test,23,forward,1.643488601,1.611500524,1.596789983,1.646633341,1.5468327,1.4091929
test,23,goalkeeper,2.148357546,2.137348984,2.124709527,2.147494232,2.1405158,2.083853
test,23,midfielder,1.581660689,1.571032256,1.587740357,1.586540553,1.5689353,1.4858427
test,24,defender,2.076500108,2.127575248,2.079740034,2.078577921,2.079113,1.9768801
test,24,forward,1.731851514,1.707601394,1.674817208,1.731043352,1.6439685,1.4999243
test,24,goalkeeper,2.174310984,2.165126994,2.127795441,2.165141697,2.158557,2.1165314
test,24,midfielder,1.541446249,1.537781096,1.547989961,1.545674044,1.5361596,1.434601
test,25,defender,2.07656956,2.123168708,2.079211433,2.07469517,2.071742,1.9610248
test,25,forward,1.741189985,1.71145852,1.695389575,1.734402917,1.6486115,1.5006659
test,25,goalkeeper,2.194856435,2.177735829,2.135853292,2.175142958,2.1541243,2.107102
test,25,midfielder,1.531191934,1.525280083,1.536391058,1.532359016,1.5252211,1.4242272
test,26,defender,2.046333394,2.094085232,2.044480063,2.052107754,2.0430148,2.0638158
test,26,forward,1.850653312,1.835708569,1.816344718,1.850725278,1.787077,1.8052665
test,26,goalkeeper,2.14495939,2.115603578,2.092132621,2.118207095,2.0797443,2.1296303
test,26,midfielder,1.58338316,1.583302219,1.589293501,1.58672872,1.5783741,1.6019429
test,27,defender,1.972418456,1.989453724,1.963220291,1.969038664,1.9500564,1.963866
test,27,forward,2.019359654,1.999302204,1.996619904,2.022330768,1.9668102,1.9786632
test,27,goalkeeper,2.187538476,2.187227273,2.11760362,2.167329585,2.1111054,2.1274734
test,27,midfielder,1.640892583,1.64596972,1.635936226,1.64228227,1.6403416,1.6632657
test,28,defender,1.861258224,1.857950453,1.833773046,1.84930585,1.8318396,1.6571425
test,28,forward,2.071539607,2.069278984,2.06344052,2.079826095,2.0354295,1.9080025
test,28,goalkeeper,2.051126425,2.0544131,2.023792437,2.005160395,1.9852264,1.8040217
test,28,midfielder,1.644175679,1.648070169,1.637752543,1.646898434,1.6395149,1.5592141
test,29,defender,1.883999585,1.883571373,1.849392089,1.877005697,1.8382678,1.8302236
test,29,forward,2.042824997,2.031148439,2.033282119,2.059429619,1.9948611,1.9886227
test,29,goalkeeper,2.052946387,2.041920447,1.994188916,2.026667317,1.9825048,1.9913574
test,29,midfielder,1.609956206,1.621571144,1.594982473,1.614723281,1.5956373,1.597098
test,30,defender,1.90019437,1.895102144,1.870467853,1.889151259,1.8578719,1.7335033
test,30,forward,1.977117403,1.964829185,1.986888042,1.990471624,1.9300382,1.8190362
test,30,goalkeeper,2.016118555,1.997416186,1.936378595,1.97643156,1.9435828,1.7494789
test,30,midfielder,1.622221057,1.636290122,1.6031993,1.629416189,1.6057864,1.5332799
test,31,defender,1.989395728,1.984465463,1.954385093,1.977029075,1.937786,1.8157059
test,31,forward,1.971660476,1.952258227,1.961402601,1.974410156,1.9009098,1.7706406
test,31,goalkeeper,2.182519235,2.182450486,2.12943898,2.143654874,2.0829864,1.9197968
test,31,midfielder,1.595917707,1.590832978,1.560346907,1.579716376,1.5527701,1.4817861
test,32,defender,1.973122772,1.963764938,1.936320157,1.960959133,1.9336118,1.8275969
test,32,forward,1.952419323,1.954141639,1.964919316,1.963292522,1.9114363,1.7804623
test,32,goalkeeper,2.17372552,2.158561852,2.09308944,2.105484707,2.0852633,1.912581
test,32,midfielder,1.574756337,1.569485132,1.546096003,1.562565041,1.540599,1.4673829
test,33,defender,1.969836949,1.958593595,1.934212897,1.961154098,1.9293231,1.8127142
test,33,forward,1.921360461,1.913747648,1.929312012,1.934491015,1.8749353,1.763823
test,33,goalkeeper,2.236287155,2.222127476,2.138804201,2.165736239,2.1103432,1.9491246
test,33,midfielder,1.580842705,1.574848682,1.538298863,1.564253862,1.5285288,1.4346395
test,34,defender,1.958787969,1.949875514,1.923816442,1.946640444,1.9172404,1.7941277
test,34,forward,1.90443111,1.904418487,1.90517647,1.921136012,1.8542761,1.7653127
test,34,goalkeeper,2.257102096,2.255697572,2.142962191,2.181112925,2.0932221,1.9398705
test,34,midfielder,1.641187065,1.641741358,1.62361132,1.630377787,1.6105936,1.5398557
test,35,defender,1.953876831,1.944477841,1.925480615,1.943568898,1.9090043,1.7646639
test,35,forward,1.926273855,1.92547668,1.929860537,1.941556444,1.8908747,1.7836205
test,35,goalkeeper,2.333313213,2.338608548,2.231186766,2.261623936,2.193888,2.0141063
test,35,midfielder,1.632721098,1.638081446,1.612739681,1.626598748,1.5958222,1.5352346
test,36,defender,1.905042319,1.884379605,1.871570152,1.897444638,1.8590599,1.7180698
test,36,forward,1.853575282,1.857675159,1.90635001,1.88114609,1.8359725,1.7234001
test,36,goalkeeper,2.344231309,2.349298889,2.236428678,2.283331159,2.1581087,2.0281675
test,36,midfielder,1.644388702,1.660927797,1.630255382,1.640508136,1.6096985,1.5440983
test,37,defender,1.936748708,1.931702078,1.897180588,1.931535333,1.8694421,1.7693533
test,37,forward,1.810836474,1.801885067,1.833723822,1.84441605,1.7971747,1.7172331
test,37,goalkeeper,2.238013045,2.25228867,2.099518126,2.175472067,2.0369344,1.9148817
test,37,midfielder,1.63510862,1.658612162,1.601696419,1.627204067,1.594502,1.523948
test,38,defender,2.04443178,2.040150031,1.98420726,2.030787845,1.962583,2.0077913
test,38,forward,1.826181642,1.839766292,1.821107627,1.862933951,1.8315365,1.8554591
test,38,goalkeeper,2.308971853,2.340958527,2.210887544,2.264075926,2.1488345,2.2359293
