,dataset,gameweek,position,linear_regression_mae,ridge_regression_mae,lasso_regression_mae,random_forest_mae,xgboost_mae,xgboost_v2_mae
191,test,32,midfielder,1.8521815920345308,1.8576263036530636,1.8340170048648161,1.5515600690013867,1.6509697,1.5979437
192,test,33,defender,1.684216024453058,1.6407978681087685,1.6437137010560097,1.9339343186639935,2.0571423,1.9488902
193,test,33,forward,1.972017235806581,1.9740076233665573,1.9497279708688837,1.916037334637848,2.0144794,1.8625284
194,test,33,goalkeeper,2.2653025494942254,2.26560141230338,2.3811431871207938,2.1229015196140057,2.2447214,2.1587818
195,test,33,midfielder,1.8669352382520865,1.8695434092645684,1.8688736485112794,1.543822964993527,1.6401112,1.5620829
196,test,34,defender,1.696009126909714,1.6485934487554448,1.6533313519634025,1.9224775957332125,2.049878,1.929261
197,test,34,forward,1.9391149426506868,1.9810271914872786,1.9628779442128454,1.8947675213176576,1.9988647,1.8802198
198,test,34,goalkeeper,2.3603246841134253,2.293415259858179,2.3977341493609483,2.1657260610355347,2.2225916,2.1454804
199,test,34,midfielder,1.8693416899498771,1.8576548232733598,1.8532192591848682,1.625404589868014,1.717085,1.629747
200,test,35,defender,1.6633843493284317,1.6395777985963456,1.6524121562339276,1.9137283611585858,2.046501,1.9297035
201,test,35,forward,1.949245076996573,1.9882026041940266,1.9633338456449345,1.931464554109255,2.0359168,1.9058821
202,test,35,goalkeeper,2.326273747723347,2.2351618505289186,2.3673933921051313,2.244470428892823,2.3382642,2.218711
203,test,35,midfielder,1.8734368407969282,1.8619738989372785,1.8553991285581672,1.6191428428774486,1.7054334,1.6198865
204,test,36,defender,1.6542909094748244,1.6393870156219408,1.6409013005424855,1.861001334796322,1.9987956,1.8857259
205,test,36,forward,1.927874067576118,1.9669340400360587,1.932673786367959,1.89197712171469,1.9817997,1.8571917
206,test,36,goalkeeper,2.347774374340583,2.3244690625421023,2.40517626705826,2.245411108739055,2.3173301,2.2297218
207,test,36,midfielder,1.8773342327674865,1.8664670524700986,1.8582790500496384,1.6278787976600662,1.7196091,1.6206112
208,test,37,defender,1.651859853365369,1.6343975615163993,1.634340695432891,1.878175647547676,2.0211487,1.9232421
209,test,37,forward,1.977341702349056,1.994394604674155,1.9591673636906308,1.8236459855230083,1.9490012,1.8073628
210,test,37,goalkeeper,2.2826957624320863,2.2360427566999177,2.3496149256392473,2.128474995402782,2.1810849,2.0967293
211,test,37,midfielder,1.89528065710599,1.8849555340097468,1.8777516113275317,1.6117566539297934,1.7106775,1.6217988
212,test,38,defender,1.643166277253146,1.610930557497013,1.6202455585387696,1.9442731361419128,2.0981572,1.994739
213,test,38,forward,1.9729946822748077,1.986812286860662,1.9574210625705066,1.8175773005851559,1.9737272,1.8605285
