,dataset,gameweek,position,linear_regression_mae,ridge_regression_mae,lasso_regression_mae,random_forest_mae,random_forest_v2_mae
28,test,31,overall,1.8269017964441634,1.829150079735262,1.8418632032967206,1.7880537737947233,1.7861329918810251
29,test,32,overall,1.8321827212158683,1.8374733067397149,1.834571424421183,1.7780033974371068,1.780275892070147
30,test,33,overall,1.8473206278819818,1.8338472840697981,1.8390384476015107,1.7704420976639847,1.776276761698535
31,test,34,overall,1.853386778285776,1.833179930919701,1.8375596735303872,1.8086824870746445,1.805148249944481
32,test,35,overall,1.842960886818346,1.8288608485159996,1.8361810766801185,1.8116986435008842,1.8131998919400751
33,test,36,overall,1.8388522291876168,1.8329851352996882,1.830691261943523,1.7975880111305174,1.7990546222048638
34,test,37,overall,1.848191180489514,1.8365284971716824,1.8367239618855367,1.7811878727673045,1.7823351865303003
35,test,38,overall,1.8277729371475553,1.8117833139838657,1.8177605840768012,1.8527389840061188,1.8590277371272237
36,training,3,overall,2.7219428602393734,2.794907476806659,2.691773211646225,2.6332147690324983,2.6655317667784137
37,training,4,overall,2.4776345998145572,2.407069258387144,2.399251551299539,2.415268219884674,2.4269328133686425
38,training,5,overall,2.3554627106888715,2.3277909669414782,2.315827644169331,2.389137715842417,2.4062265436897996
39,training,6,overall,2.219828647290695,2.1957855853236095,2.1998283275782335,2.224314496564749,2.204222390726136
40,training,7,overall,2.1588504759000324,2.1346976820578667,2.147306248093556,2.108505184638471,2.1149549336783227
41,training,8,overall,2.109031385929124,2.0873348781059904,2.089167010638871,2.0590003191333865,2.0418978137215813
42,training,9,overall,2.0744691910465276,2.0608818920992955,2.057859047525836,2.0249477179844235,2.0302491223373735
43,training,10,overall,2.042612944577203,2.021074763640276,2.0219005398227234,1.9843396266531232,2.017031744691749
44,training,11,overall,2.031149509737039,2.012687359799303,2.023417205014354,1.9929023337344518,2.0002455640168333
45,training,12,overall,2.0189345643251473,1.9999661044943993,2.0034245495122387,1.9755286358827795,1.9941142171428792
46,training,13,overall,2.0112333797030972,1.987187352200863,1.9947087434646003,1.958531387526683,1.9509984069531838
47,training,14,overall,1.983802902071281,1.967059413460473,1.9756330086381242,1.9453392695454856,1.9435889468561982
48,training,15,overall,1.9678139724558532,1.9506398143515569,1.9542030646089097,1.9381560226552097,1.9351336056774733
49,training,16,overall,1.953823977233534,1.9383193906596032,1.941060824809645,1.9303387868779782,1.9228978261277878
50,training,17,overall,1.9481600390615057,1.9313565145299982,1.936604000467031,1.922189600347355,1.942417507410023
51,training,18,overall,1.9565778386730026,1.9371042761801145,1.940115020082871,1.9214542594504926,1.9166611751723786
52,training,19,overall,1.9451098235624027,1.9283484961335844,1.9393586021796272,1.9070499622802863,1.9141461191195375
53,training,20,overall,1.950297726996175,1.9353044060466418,1.9359765311988633,1.9020971781208416,1.9073415494236121
54,training,21,overall,1.9451051110745092,1.9274818465274837,1.9312588975471219,1.8913218015223565,1.8936108769150393
55,training,22,overall,1.936578638345888,1.9202753176232332,1.9215763171822262,1.8846301315942091,1.8822921743904137
56,training,23,overall,1.8934352871705051,1.8803217286384666,1.882901680592595,1.8767483481979395,1.8761146946654828
57,training,24,overall,1.8833558766307847,1.8714929042838662,1.8740099989935959,1.8686150245945736,1.8694568248677168
58,training,25,overall,1.879508717659367,1.8670918222648838,1.8690635746351214,1.8705567988182665,1.8735949199308666
59,training,26,overall,1.8669459409864944,1.8571003122239238,1.8566963750920433,1.8598818976680647,1.8580491827322712
60,training,27,overall,1.8628118869932444,1.8539799837590039,1.8542364449642545,1.8591264205319464,1.8628214049446699
61,training,28,overall,1.8628789180254224,1.8553079907710401,1.8537536756109987,1.8647805540737326,1.8652802562693227
62,training,29,overall,1.8545789202979248,1.8483188974863733,1.8464616273855785,1.859234783081429,1.862334370477675
63,training,30,overall,1.8517852131386194,1.8464875470021722,1.8444690890189368,1.8600978559126793,1.8578245278047862
64,training,31,overall,1.8432850882620726,1.8371760464051479,1.8357025596181855,1.8567857593091204,1.8572905173054752
65,training,32,overall,1.843570593961233,1.8383761513973607,1.8367057875243418,1.8604738277133732,1.859090745483683
66,training,33,overall,1.8388963154554039,1.8341030728874919,1.8337315129742229,1.8539230462097167,1.8538929761787029
67,training,34,overall,1.8394447799557412,1.833929420372683,1.831778497027271,1.849825864415685,1.8504331904455205
68,training,35,overall,1.8420284275084018,1.8356412744052624,1.8342358513952723,1.8483210137270771,1.849823670776053
69,training,36,overall,1.84164865357138,1.837035599493483,1.835748353401522,1.8488989982038992,1.850374118281027
70,training,37,overall,1.841739408256376,1.8369202857360343,1.8357321957394739,1.8511656221198227,1.849150882245434
71,training,38,overall,1.8367416883913497,1.832164904712413,1.8316503685998164,1.8451938049936463,1.8428751856689753
72,test,3,defender,1.0346402401127202,0.8460034290728919,0.8026744143399559,2.111677333571175,2.0893014362030837
73,test,3,forward,7.632123761087601,7.253785274012809,7.912701889751703,3.5301404712479276,3.489334375733882
74,test,3,goalkeeper,2.246466484122174,6.915992504197224,3.0709829476919466,2.2462721998033213,2.2545219885948895
75,test,3,midfielder,2.4143931266019405,2.420826225729834,2.232992392247357,1.9742463478264993,1.954552606436179
76,test,4,defender,1.5551166282670055,1.5462953796294887,1.5780592469550925,2.1354092981155235,2.2335350265394784
77,test,4,forward,3.900727700764694,4.623481510287422,4.335891417729342,2.6238028852304396,2.7109554938986835
78,test,4,goalkeeper,2.653576437587718,2.653648291354587,2.653576437587718,2.1824993348531563,2.233272412143553
79,test,4,midfielder,2.206546268812857,2.307930321217433,2.245530884446246,1.79657391953245,1.918847516465689
80,test,5,defender,1.484266765379317,1.4114024414131967,1.5056222587718824,2.020770231239463,2.062507805940822
81,test,5,forward,3.4476279688361267,3.894216202355432,3.720990053253275,2.201947568551294,2.271631211530763
82,test,5,goalkeeper,2.2299448711398644,2.324076355024021,2.3244241634072487,2.433183087943895,2.4327838622528977
83,test,5,midfielder,2.3976888178097995,2.461872233744355,2.4219253197773694,1.562632036608953,1.601867878382944
84,test,6,defender,1.5594985072218457,1.4748146661194523,1.5645609705965158,1.971312257721972,2.009942988596978
85,test,6,forward,2.940013589756666,3.450213200011679,3.1897110419140917,2.037909859400008,2.0615246910048155
86,test,6,goalkeeper,2.228187205736297,2.5768141021025923,2.5779661016949094,2.324682575486178,2.318406106946833
87,test,6,midfielder,2.1178883290363357,2.241138877020463,2.2034982098411677,1.5401663616516819,1.5757602655336056
88,test,7,defender,1.5456612007191788,1.4519648587405447,1.3856238833464034,1.934052223195681,1.9173747748937189
